SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BAJAJHIND,EQ,15.1,15.2,14.85,14.95,14.9,15.05,1551986,23351303.55,08-DEC-2017,2656,INE306A01021,
BAJAJHLDNG,EQ,2892.4,2961,2892.4,2948.8,2940.25,2900.7,13018,38253005.4,08-DEC-2017,1302,INE118A01012,
BAJFINANCE,EQ,1685,1708.2,1683.3,1702.25,1706,1676.3,767714,1303727658.15,08-DEC-2017,34736,INE296A01024,
BALAJITELE,EQ,158.8,163.95,158.55,159.45,159.45,158.05,266607,43006036.25,08-DEC-2017,4257,INE794B01026,
BALAMINES,EQ,632,655,630.1,639,636.65,629.3,108041,69554971.9,08-DEC-2017,3965,INE050E01027,
BALKRISHNA,EQ,71.15,74,68.5,72.9,73.5,68.55,296282,21495571.15,08-DEC-2017,1995,INE875R01011,
BALKRISIND,EQ,2250,2456,2241.25,2415.45,2393,2242.25,1113004,2629935667.45,08-DEC-2017,52393,INE787D01026,
BALLARPUR,EQ,13.4,14.25,13.35,14,14.1,13.3,3616668,50400212.3,08-DEC-2017,4428,INE294A01037,
BALMLAWRIE,EQ,266.85,268.9,263.25,264.45,263.75,264.55,65191,17361266.45,08-DEC-2017,1533,INE164A01016,
BALPHARMA,EQ,95.85,98.65,94.5,95,95,95.65,98236,9410212.45,08-DEC-2017,664,INE083D01012,
BALRAMCHIN,EQ,153.5,154.85,152.25,153.4,153.3,153.5,1427916,218947734.3,08-DEC-2017,15444,INE119A01028,
BANARBEADS,EQ,64.05,65.45,63.1,63.55,63.1,62.65,7581,487625.95,08-DEC-2017,97,INE655B01011,
BANARISUG,EQ,2344.3,2350,2281,2296.15,2302,2321.45,649,1496521.85,08-DEC-2017,115,INE459A01010,
BANCOINDIA,EQ,240.5,243.6,238,238.85,238.7,238.75,71472,17179645.25,08-DEC-2017,1343,INE213C01025,
BANG,EQ,44,44.95,40,42.8,42.6,43.5,13213,565657.35,08-DEC-2017,171,INE863I01016,
BANKBARODA,EQ,168.65,169.95,167.05,167.45,167.55,167.95,8613753,1449487345.05,08-DEC-2017,33896,INE028A01039,
BANKBEES,EQ,2553.5,2570.5,2553.5,2564.94,2565.5,2547.64,9597,24592906.52,08-DEC-2017,200,INF732E01078,
BANKINDIA,EQ,186,188.6,184.45,185.25,185.15,186.75,1625902,302240055.45,08-DEC-2017,9658,INE084A01016,
BANSAL,SM,118.1,119.9,118,119.35,119.8,120.9,44000,5249600,08-DEC-2017,11,INE668X01018,
BANSWRAS,EQ,134.95,137.5,134,136.75,136.3,134.95,15317,2091853.4,08-DEC-2017,159,INE629D01012,
BARTRONICS,BE,14.8,15.7,14.8,14.9,15,15.1,77650,1178335.7,08-DEC-2017,247,INE855F01034,
